Sample,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,Media
S31,1,0.685976344,0.005842787,0.638041115,7.455759646,1.086367577,27.85445084,27.81076389,0.053175214,R2A
S31,2,0.631598809,0.001754065,0.849864665,6.922910822,0.815597129,25.98936825,26.01576389,0.124727392,R2A
S31,3,0.669771264,0.002815617,0.801450423,6.822059182,0.864865949,27.6263277,27.65005556,0.124048336,R2A
S7,2,0.441981791,4.72717860164342e-05,1.200150972,7.61821103,0.577549989,17.88100187,17.94597222,0.074773261,R2A
S7,3,0.551587677,1.88684116613701e-05,1.306163159,7.872701523,0.53067427,22.17492476,22.27234722,0.097453269,R2A
S19,1,0.51789424,0.000268021,0.918582238,8.23654378,0.754583696,20.63167128,20.71568056,0.027726237,R2A
S19,2,0.523643551,0.000272317,0.921059107,8.209112433,0.752554505,20.87507372,20.95893056,0.030930275,R2A
S19,3,0.524288118,0.000250547,0.915346109,8.352767615,0.757251463,20.82547504,20.90572222,0.031871324,R2A
S32,1,0.482913535,2.45064720750621e-05,1.096860627,9.015370468,0.631937334,18.86226728,18.89320833,0.022535181,R2A
S32,2,0.48518733,3.632636835206e-05,1.05857858,8.973988113,0.654790484,18.97114646,19.00388889,0.021308723,R2A
S32,3,0.479138523,3.87749441387783e-05,1.052524062,8.951709678,0.658557088,18.74530559,18.78843056,0.021258929,R2A
S120,1,0.727457041,0.001507108,0.156467863,39.47959835,4.429965146,41.22215515,41.77327778,0.098978388,M9
S120,2,1.084969375,0.002592024,0.139602182,43.22622985,4.965160083,57.41562016,57.885125,0.04107914,M9
S120,3,1.094021924,0.00309627,0.137125804,42.76790639,5.054826742,58.39265688,58.643375,0.02809181,M9
S8,1,0.723692776,0.000100088,0.222681658,39.90418748,3.112726864,40.71008026,41.35931944,0.068796366,M9
S8,2,0.705394735,8.88891283381363e-05,0.223513769,40.17200827,3.101138621,39.49187689,40.17761111,0.074819996,M9
S8,3,0.704514085,7.97525459600589e-05,0.223807185,40.59843616,3.097072952,39.14219061,39.83361111,0.07702688,M9
S21,1,1.604986074,0.024150743,0.139836242,29.90207316,4.956849331,106.1669958,105.5116111,0.037177776,M9
S21,2,1.598405271,0.023284692,0.141070587,29.87363324,4.913477691,105.7840835,105.1554028,0.03658067,M9
S21,3,1.602254128,0.022735992,0.143055199,29.64538121,4.845312763,106.4109629,105.78225,0.036959163,M9
S263,1,1.623080231,0.016691658,0.203090575,22.4866898,3.41299532,119.4919261,119.1642361,0.040067652,M9
S263,2,1.480825217,0.011829019,0.228820694,21.07230243,3.029215442,111.1369737,110.9479861,0.146901651,M9
S263,3,1.559256093,0.01537658,0.211342447,21.80919248,3.27973481,115.855801,115.5794861,0.04306054,M9
S9,1,0.311585453,1.59995514952019e-07,0.443518677,32.65259984,1.562836508,19.78737585,20.05819444,0.060161282,M9
S9,2,0.304824953,3.10470157174918e-07,0.420647322,32.79982714,1.647810754,19.31316824,19.57625,0.05484508,M9
S9,3,0.308366279,2.54313554527781e-06,0.353791754,33.08623624,1.959195412,19.44921506,19.68027778,0.048395491,M9
S22,1,1.542216613,0.016022473,0.162978689,27.95788926,4.252992738,105.0807458,104.7769028,0.110643567,M9
