,Isolate,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,Media
89,S491,1,1.544800813,0.022982343,0.293025215,14.30912709,2.365486466,126.3612707,126.2436458,0.037973551,,M9ng
90,S5,3,1.349339699,0.058369845,0.302812776,10.22529392,2.289028849,115.7554344,115.5643958,0.139203967,,M9ng
91,S8,2,0.935932731,0.000514811,0.172961727,43.39080668,4.007517684,49.38420638,49.6675625,0.017196408,,M9ng
92,S11,1,0.907088218,0.019263205,0.352331774,10.87207616,1.967313854,77.30664467,77.15589583,0.09409222,,M9ng
93,S16,3,0.974000742,0.00137531,0.601953096,10.90005162,1.151496995,83.03907276,83.17897917,0.111623743,,M9ng
94,S21,2,1.380662763,0.02918136,0.130305129,29.43419392,5.319415933,91.89857904,91.1950625,0.047536301,,M9ng
95,S28,1,0.251381219,0.007737515,0.077334642,44.6064828,8.962958474,12.91725152,12.8833125,0.003172505,,M9ng
96,S30,3,1.576217938,0.068892085,0.235541153,13.09983864,2.942785881,130.6187818,130.3284792,0.029357384,,M9ng
97,S120,3,1.199224036,0.004212373,0.155234719,36.38287272,4.46515564,71.65737382,71.7460625,0.017197397,,M9ng
98,S491,2,1.541881789,0.021981743,0.296140902,14.30463534,2.340599276,126.1335365,126.0304792,0.04232187,,M9ng
99,S6,1,1.180846181,0.004371453,0.326979617,17.11171597,2.119848286,93.32817422,93.48189583,0.088464182,,M9ng
100,S8,3,0.899276712,0.00023747,0.197716221,41.6710399,3.505767896,48.99779837,49.27639583,0.034662552,,M9ng
101,S11,2,0.978849863,0.067271218,0.208669207,12.49080032,3.321751166,81.56368608,81.21272917,0.150132087,,M9ng
102,S17,1,0.911318087,0.000183681,0.154436686,55.09860749,4.488228779,37.42741875,36.985625,0.039709177,,M9ng
103,S21,3,1.399311793,0.032792341,0.123718512,30.14768947,5.602614926,92.10408374,91.38272917,0.048579652,,M9ng
104,S28,2,0.230498562,0.00622548,0.087133238,41.1348635,7.955026048,12.63214013,12.58989583,0.004411468,,M9ng
105,S31,1,1.363305522,0.02680917,0.262303823,14.9028053,2.642535565,110.6725065,110.4007292,0.077384119,,M9ng
106,S263,1,1.354205795,0.00479128,0.189487992,29.76773614,3.658000567,89.88084961,89.5100625,0.049353614,,M9ng
107,S491,3,1.546319607,0.02098343,0.29868368,14.35042259,2.320673094,126.4300128,126.3061458,0.044405168,,M9ng
108,S6,2,1.174407759,0.003007983,0.334355127,17.83937072,2.073086744,91.96906324,92.16922917,0.091111798,,M9ng
109,S9,1,0.250171578,4.25E-06,0.3143176,34.94407807,2.205244568,15.31398383,15.52225,0.034166812,,M9ng
110,S11,3,0.935369543,0.047109563,0.244268459,12.02279026,2.837645038,78.49967873,78.19772917,0.167113427,,M9ng
111,S17,2,0.860374879,4.31E-05,0.177947354,55.64806648,3.895237345,34.85711228,34.57289583,0.037132057,,M9ng
112,S22,1,0.954276452,0.000284281,0.355514816,22.83575055,1.949699844,69.96894929,70.8400625,0.177646912,,M9ng
113,S28,3,0.168526899,0.003689189,0.101940883,37.27213937,6.79950142,9.891350348,9.8758125,0.003029281,,M9ng
114,S31,2,1.352984119,0.02877018,0.264577546,14.47301533,2.619826172,110.4086494,110.1540625,0.068219281,,M9ng
115,S34,1,1.09159575,0.062072005,0.116779744,24.05003137,5.935508633,78.16762988,77.87472917,0.025228473,,M9ng
116,S263,2,1.3946242,0.008743181,0.178646642,28.35663319,3.879989975,94.50845201,94.09264583,0.051679366,,M9ng
117,S2,1,0.932050128,0.006317305,0.139634736,35.71670693,4.964002527,56.29041345,56.30222917,0.055740432,,M9ng
118,S6,3,1.178281836,0.003774941,0.337643158,17.00084471,2.05289864,93.2583055,93.40014583,0.087000024,,M9ng
119,S9,2,0.291696279,2.45E-08,0.447035118,36.44624855,1.550543017,17.41771188,17.71425,0.042538043,,M9ng
120,S14,1,1.580868604,0.108910954,0.197473433,13.18566191,3.510078147,130.5970124,130.3207292,0.058055144,,M9ng
121,S17,3,0.867888224,3.47E-05,0.172063217,58.86396424,4.028444857,32.37513465,32.09175,0.030455908,,M9ng
122,S22,2,1.011122967,0.000553765,0.314580655,23.87077348,2.203400528,73.08957032,73.7315625,0.127239128,,M9ng
123,S29,1,1.411375,0.074970068,0.31188962,9.23611842,2.222411828,122.4324556,122.1830625,0.035408112,,M9ng
124,S31,3,1.401214561,0.033470938,0.244114296,15.1987826,2.839437066,113.3025363,112.9630625,0.050713071,,M9ng
125,S34,2,1.051716825,0.055324046,0.123709063,23.36881253,5.603042858,76.0953129,75.84864583,0.023241663,,M9ng
126,S263,3,1.409752682,0.010592009,0.171390292,28.49360894,4.044261622,95.32817685,94.86664583,0.055460415,,M9ng
127,S2,2,1.05636914,0.006407544,0.136555758,37.34029936,5.075927892,62.0887103,61.99697917,0.048228881,,M9ng
128,S7,1,0.900098901,0.002144002,0.406620791,14.84785232,1.704652579,73.18194559,73.30889583,0.141079958,,M9ng
129,S9,3,0.43055385,0.000329577,0.164436884,43.62922162,4.215278011,22.61495085,22.72395833,0.031404536,,M9ng
130,S14,2,1.576002853,0.096320938,0.207647452,13.15641815,3.33809625,130.3321694,130.0563958,0.055110085,,M9ng
131,S19,1,0.804102398,0.00767802,0.118490681,39.17413936,5.849803348,45.7637186,45.7503125,0.024311704,,M9ng
132,S22,3,0.882065667,0.000606838,0.298995803,24.35175282,2.318250535,63.33584401,64.0693125,0.12869616,,M9ng
133,S29,2,1.394957499,0.067279494,0.321079385,9.288454759,2.158803126,120.9646377,120.8346458,0.031654838,,M9ng
134,S32,1,1.641931273,0.037994467,0.214006789,17.48905185,3.238902759,128.9894728,128.4111458,0.04782726,,M9ng
135,S34,3,1.036468716,0.051507357,0.131771296,22.39393432,5.2602289,76.05374519,75.8160625,0.021317968,,M9ng
136,S391,1,0.710775731,0.017549557,0.1094872,33.57769301,6.330851276,44.32516446,44.1595625,0.012648815,,M9ng
137,S2,3,1.00282254,0.008649609,0.128430466,36.94136735,5.397061938,59.32007528,59.2195625,0.039439772,,M9ng
138,S7,2,0.835075504,0.001893522,0.418515343,14.54382363,1.656204946,68.14951634,68.25247917,0.148715477,,M9ng
139,S10,1,1.3905,0.01689902,0.355109843,12.38471832,1.95192331,116.4389457,115.7518125,0.040372826,,M9ng
140,S14,3,1.573442957,0.092668098,0.21586958,12.83782788,3.210953485,130.6571869,130.3787292,0.057601588,,M9ng
141,S19,2,0.789250971,0.01050721,0.111682788,38.55222883,6.206392167,45.38208716,45.29014583,0.028724147,,M9ng
142,S27,1,0.40501563,3.50E-05,0.169829244,55.08816427,4.081435946,16.63597064,16.65947917,0.0039246,,M9ng
143,S29,3,1.390109607,0.067376787,0.333289498,8.932638609,2.079715039,121.0456697,120.8974792,0.034997049,,M9ng
144,S32,2,1.577845677,0.038786362,0.215532012,17.07801055,3.215982505,124.5939023,124.1279792,0.040601685,,M9ng
145,S391,2,0.626140439,0.014863608,0.118464538,31.3733896,5.851094294,40.43977132,40.33147917,0.013666981,,M9ng
146,S5,1,1.637676326,0.124285978,0.201226405,12.42144389,3.444613455,136.4911295,136.0897292,0.074746888,,M9ng
147,S7,3,0.726875,0.000846337,0.563215659,11.99261209,1.230695862,61.17625316,61.05114583,0.238838765,,M9ng
148,S10,2,1.377241809,0.012474869,0.395971661,11.85696677,1.75049694,116.071336,115.9566458,0.021686908,,M9ng
149,S16,1,0.895257266,0.003180301,0.507460846,11.1074118,1.365912633,76.13592855,76.21864583,0.072418969,,M9ng
150,S19,3,0.904175506,0.013789048,0.0912792,45.65970026,7.593703508,45.60529293,45.66789583,0.017441138,,M9ng
151,S27,2,0.640276743,0.000247416,0.149525849,52.55412353,4.635634475,27.92323481,28.06820833,0.00818709,,M9ng
152,S30,1,1.481716895,0.050573062,0.267098637,12.51526498,2.595098156,123.7422869,123.5464792,0.022308984,,M9ng
153,S32,3,1.521702204,0.024610684,0.261411874,15.71504305,2.651552008,122.3153946,122.0123125,0.034157414,,M9ng
154,S120,1,0.731918744,0.001688779,0.154311061,39.33194069,4.491882683,41.58187946,42.18963889,0.099237463,,M9wg
155,S120,2,1.086870432,0.002677748,0.138994985,43.19303266,4.986850269,57.55179236,58.04526389,0.041282224,,M9wg
156,S120,3,1.097080095,0.00324751,0.136231869,42.71801061,5.087995813,58.60968294,58.89959722,0.028357023,,M9wg
157,S8,1,0.731314837,0.00013273,0.216805639,39.73189085,3.197090184,41.2646956,42.06393056,0.069587147,,M9wg
158,S8,2,0.711923536,0.000113896,0.218423272,40.01532006,3.173412676,39.9688287,40.78613889,0.075472856,,M9wg
159,S8,3,0.712083842,0.000106858,0.217839575,40.41643507,3.181915783,39.6922341,40.53822222,0.077777504,,M9wg
160,S21,1,1.611862112,0.025247844,0.138794619,29.83269023,4.99404939,106.7251625,106.1201389,0.03604407,,M9wg
161,S21,2,1.605271599,0.024355989,0.140013508,29.80413647,4.950573642,106.3418322,105.7639306,0.035476044,,M9wg
162,S21,3,1.608392374,0.023674778,0.142093971,29.58430404,4.878090008,106.9097443,106.3267222,0.035978926,,M9wg
163,S263,1,1.629757822,0.017567898,0.20142167,22.43688798,3.441274115,120.0599594,119.7727639,0.039556431,,M9wg
164,S263,2,1.487511681,0.012640508,0.226401147,21.02206354,3.061588637,111.7095951,111.5565139,0.146828505,,M9wg
165,S263,3,1.566951932,0.016374739,0.209229515,21.74952537,3.312855641,116.5159175,116.2840972,0.04261461,,M9wg
166,S9,1,0.314907849,2.45E-07,0.432264018,32.54100314,1.603527361,20.03350859,20.37847222,0.060336725,,M9wg
167,S9,2,0.304824953,3.10E-07,0.420647322,32.79982714,1.647810754,19.31316824,19.57625,0.05484508,,M9wg
168,S9,3,0.310723893,3.23E-06,0.347660323,33.00285798,1.993748308,19.62381955,19.90447222,0.048522103,,M9wg
169,S22,1,1.546801102,0.016573114,0.162131444,27.91186077,4.275217465,105.4606669,105.1932639,0.110526631,,M9wg
170,S22,2,0.827733394,0.000233125,0.389725699,20.97524195,1.778551381,62.23072721,62.88693056,0.233254923,,M9wg
171,S22,3,1.246433237,0.002485034,0.25613447,24.26756187,2.706184689,89.59698905,90.07359722,0.118695817,,M9wg
172,S34,1,1.204306768,0.11384099,0.084296617,26.80484264,8.22271648,82.14514138,81.50226389,0.086000454,,M9wg
173,S34,2,1.163463522,0.09413223,0.098037264,24.7873938,7.070241965,82.04677005,81.45238889,0.080960205,,M9wg
174,S34,3,1.017517081,0.034943837,0.155837943,21.40963053,4.447871738,75.82968359,75.76013889,0.06127924,,M9wg
175,S391,1,1.43400472,0.02983619,0.199189677,19.3357335,3.479834851,110.012206,109.6009306,0.032105025,,M9wg
