Sample,ASV10,ASV11,ASV14,ASV16,ASV17,ASV19,ASV2,ASV21,ASV22,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV5,ASV6,ASV7,ASV8,ASV9,Unassigned,X120,X263,X391,X491,Experiment,Shake,Media,Beads,Temp,Rep,Time,Day,Treatment
PMXC6.NS.CR.NB.VT.REP1.T9,0,0,78,0,0,0,0,0,0,0,0,782,404,79,0,0,112,34,0,0,90,0,0,0,0,0,0,PMXC6,NS,CR,NB,VT,REP1,T9,30,NSCRVTNB
PMXC6.NS.CR.NB.VT.REP2.T9,0,8476,78773,385,43764,0,0,0,0,3256,0,36260,6447,31801,3439,27,65127,72810,0,0,4328,0,259,0,0,0,0,PMXC6,NS,CR,NB,VT,REP2,T9,30,NSCRVTNB
PMXC6.NS.CR.NB.VT.REP3.T9,0,1813,11074,552,2656,882,1383,0,0,622,0,5970,3260,8266,1052,0,14620,10711,0,0,398,0,125,0,0,0,0,PMXC6,NS,CR,NB,VT,REP3,T9,30,NSCRVTNB
PMXC6.NS.R2A.B.RT.REP1.T9,0,4494,139646,0,3220,0,64,0,0,311,0,28254,33223,70912,259,0,17113,1626,0,0,0,0,401,0,0,0,0,PMXC6,NS,R2A,B,RT,REP1,T9,30,NSR2ARTB
PMXC6.NS.R2A.B.RT.REP2.T9,10,3686,151299,0,2004,0,5,0,0,218,0,31324,38312,62021,409,26,16127,2234,0,0,0,0,1051,0,0,0,0,PMXC6,NS,R2A,B,RT,REP2,T9,30,NSR2ARTB
PMXC6.NS.R2A.B.RT.REP3.T9,9,4301,152582,0,3697,0,0,0,0,428,0,42106,44899,79789,376,6,24026,3630,0,0,0,0,164,0,0,0,0,PMXC6,NS,R2A,B,RT,REP3,T9,30,NSR2ARTB
PMXC6.NS.R2A.B.VT.REP1.T9,616,4309,160376,23,45669,0,5808,0,0,1230,0,32056,16286,48573,3168,12,16583,4991,0,0,1159,0,167,0,0,0,0,PMXC6,NS,R2A,B,VT,REP1,T9,30,NSR2AVTB
PMXC6.NS.R2A.B.VT.REP2.T9,46,4188,170186,25,47291,0,0,0,0,648,0,33499,19143,45029,3988,120,22305,5320,0,0,0,0,2887,0,0,0,0,PMXC6,NS,R2A,B,VT,REP2,T9,30,NSR2AVTB
PMXC6.NS.R2A.B.VT.REP3.T9,40,2920,124180,43,50061,0,0,0,0,3382,0,25764,19126,41756,6101,37,51208,3436,0,0,3416,0,360,0,0,0,0,PMXC6,NS,R2A,B,VT,REP3,T9,30,NSR2AVTB
PMXC6.NS.R2A.NB.RT.REP1.T9,74,4819,168093,0,1857,0,41,0,0,163,0,30329,34740,42606,141,229,17377,5136,0,0,0,0,6639,0,0,3,0,PMXC6,NS,R2A,NB,RT,REP1,T9,30,NSR2ARTNB
PMXC6.NS.R2A.NB.RT.REP2.T9,45,3947,155760,0,4022,0,142,0,0,112,0,28964,30773,34663,107,10,17728,2926,0,0,0,0,532,0,0,0,0,PMXC6,NS,R2A,NB,RT,REP2,T9,30,NSR2ARTNB
PMXC6.NS.R2A.NB.RT.REP3.T9,89,3607,147541,0,4700,0,0,0,0,142,0,36233,39633,35700,189,8,15009,3812,0,0,0,0,249,0,0,3,0,PMXC6,NS,R2A,NB,RT,REP3,T9,30,NSR2ARTNB
PMXC6.NS.R2A.NB.VT.REP1.T9,0,5279,195406,0,949,0,0,0,0,95,0,28973,24699,13126,1666,54,66828,1997,0,0,0,0,372,0,0,5,0,PMXC6,NS,R2A,NB,VT,REP1,T9,30,NSR2AVTNB
PMXC6.NS.R2A.NB.VT.REP2.T9,0,3410,196987,0,1351,0,0,0,0,23,0,29245,21194,13783,1265,0,65717,2171,0,0,0,0,684,0,0,0,0,PMXC6,NS,R2A,NB,VT,REP2,T9,30,NSR2AVTNB
PMXC6.NS.R2A.NB.VT.REP3.T9,0,5117,174639,0,428,0,0,0,0,263,0,21988,20586,14110,2006,7,78892,3131,0,0,0,0,816,0,0,0,0,PMXC6,NS,R2A,NB,VT,REP3,T9,30,NSR2AVTNB
PMXC6.S.CR.B.RT.REP1.T9,4806,0,9529,3172,5041,1863,17438,0,0,218,0,40230,8453,53993,34178,157,84485,1602,0,0,3154,0,359,3392,0,22175,332,PMXC6,S,CR,B,RT,REP1,T9,30,SCRRTB
PMXC6.S.CR.B.RT.REP2.T9,1346,0,3648,2346,2361,1227,11004,0,1144,277,0,25395,4904,65413,47007,295,96084,654,0,0,1847,0,706,2409,0,32775,2179,PMXC6,S,CR,B,RT,REP2,T9,30,SCRRTB
PMXC6.S.CR.B.RT.REP3.T9,2454,38,6627,2422,1884,1303,11786,0,1186,769,0,29738,5092,65695,51208,414,122675,1178,0,0,1798,0,330,3054,0,36639,3198,PMXC6,S,CR,B,RT,REP3,T9,30,SCRRTB
PMXC6.S.CR.B.VT.REP1.T9,129,0,0,0,0,0,0,0,0,0,0,169,61,153,1867,1135,6,0,0,0,26,10,41,107,0,6037,0,PMXC6,S,CR,B,VT,REP1,T9,30,SCRVTB
PMXC6.S.CR.B.VT.REP2.T9,32,0,0,0,0,0,0,0,0,0,0,34,0,0,275,421,0,0,0,0,0,0,6,24,0,1021,0,PMXC6,S,CR,B,VT,REP2,T9,30,SCRVTB
PMXC6.S.CR.B.VT.REP3.T9,23,0,7,0,0,0,0,0,0,0,0,334,120,77,664,308,0,0,0,0,123,0,0,3,0,5654,0,PMXC6,S,CR,B,VT,REP3,T9,30,SCRVTB
PMXC6.S.CR.NB.RT.REP1.T9,45,13,41744,1079,4989,1941,12864,0,0,1262,0,51802,12296,66693,35802,0,59984,15486,0,0,3892,0,867,25746,0,7919,190,PMXC6,S,CR,NB,RT,REP1,T9,30,SCRRTNB
PMXC6.S.CR.NB.RT.REP2.T9,8,39,31754,2806,2758,2969,17685,0,853,736,0,63197,18214,63421,38765,28,107853,9487,0,0,3276,0,737,10497,0,7249,3052,PMXC6,S,CR,NB,RT,REP2,T9,30,SCRRTNB
PMXC6.S.CR.NB.RT.REP3.T9,31,0,30087,1893,3946,3361,17330,0,13,286,0,71685,16131,59543,29543,41,80131,16702,0,0,6434,0,644,8495,0,7847,2474,PMXC6,S,CR,NB,RT,REP3,T9,30,SCRRTNB
PMXC6.S.CR.NB.VT.REP1.T9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,27,0,PMXC6,S,CR,NB,VT,REP1,T9,30,SCRVTNB
PMXC6.S.CR.NB.VT.REP2.T9,0,0,48,0,0,0,0,0,0,0,0,249,49,36,4,78,33,0,0,0,52,0,0,0,0,232,0,PMXC6,S,CR,NB,VT,REP2,T9,30,SCRVTNB
PMXC6.S.CR.NB.VT.REP3.T9,0,0,29,0,0,0,0,0,0,0,0,258,0,24,0,140,0,0,0,0,59,0,424,0,0,344,0,PMXC6,S,CR,NB,VT,REP3,T9,30,SCRVTNB
PMXC6.S.R2A.B.RT.REP1.T9,178,704,75130,21,58770,6770,14344,0,0,962,0,16598,29405,90175,3491,2,53798,1340,0,0,1879,0,210,0,0,6,0,PMXC6,S,R2A,B,RT,REP1,T9,30,SR2ARTB
PMXC6.S.R2A.B.RT.REP2.T9,154,878,45783,0,50400,8352,35630,0,0,1075,0,9295,23282,93104,10170,63,99768,743,0,0,751,0,2661,0,0,12,0,PMXC6,S,R2A,B,RT,REP2,T9,30,SR2ARTB
PMXC6.S.R2A.B.RT.REP3.T9,370,764,75774,0,52378,7419,20508,0,0,1317,0,18756,34434,84597,6618,4,49262,1253,0,0,2074,0,299,0,0,0,0,PMXC6,S,R2A,B,RT,REP3,T9,30,SR2ARTB
PMXC6.S.R2A.B.VT.REP1.T9,0,0,31,0,326,0,219,0,0,0,0,331,124,626,4846,248,103376,0,0,0,111,0,35,0,0,6,0,PMXC6,S,R2A,B,VT,REP1,T9,30,SR2AVTB
PMXC6.S.R2A.B.VT.REP2.T9,19,0,8,0,79,0,69,0,0,0,0,37,211,564,1436,113,40028,0,0,0,16,0,19,0,0,0,0,PMXC6,S,R2A,B,VT,REP2,T9,30,SR2AVTB
PMXC6.S.R2A.B.VT.REP3.T9,0,0,71,0,1459,0,1039,6,0,0,0,26,928,1237,4456,262,123490,0,0,0,0,0,22,0,0,0,0,PMXC6,S,R2A,B,VT,REP3,T9,30,SR2AVTB
PMXC6.S.R2A.NB.RT.REP1.T9,0,13,47958,0,8477,0,0,0,0,117,0,2651,90014,9964,32192,0,95097,1664,0,0,129,0,287,0,0,20,0,PMXC6,S,R2A,NB,RT,REP1,T9,30,SR2ARTNB
PMXC6.S.R2A.NB.RT.REP2.T9,5,32,89717,0,10487,0,0,0,0,85,0,7491,70555,10399,30652,193,92194,3049,0,0,90,0,2073,0,0,0,0,PMXC6,S,R2A,NB,RT,REP2,T9,30,SR2ARTNB
PMXC6.S.R2A.NB.RT.REP3.T9,0,0,30608,0,6137,0,0,0,0,74,0,4699,46874,18431,47055,65,150777,693,0,0,36,18,700,0,0,14,0,PMXC6,S,R2A,NB,RT,REP3,T9,30,SR2ARTNB
PMXC6.S.R2A.NB.VT.REP1.T9,0,0,109001,0,41058,0,0,0,0,30,0,9443,28155,7114,19124,280,73643,7588,0,0,579,0,3099,11,0,29,0,PMXC6,S,R2A,NB,VT,REP1,T9,30,SR2AVTNB
PMXC6.S.R2A.NB.VT.REP2.T9,15,0,23179,0,13880,0,0,0,0,98,0,3211,34712,5022,22641,40,106706,668,0,0,778,0,433,36,0,0,0,PMXC6,S,R2A,NB,VT,REP2,T9,30,SR2AVTNB
PMXC6.S.R2A.NB.VT.REP3.T9,0,0,321,0,2225,0,0,0,0,0,0,116,555,317,1221,0,15592,0,11,0,0,0,60,23,0,0,0,PMXC6,S,R2A,NB,VT,REP3,T9,30,SR2AVTNB
